po_id,supplier_id,department,amount,budget_line,order_date,status
PO-3001,SUP-001,Facilities,5000,BL-FAC-01,2026-06-01,approved
PO-3002,SUP-002,IT,12000,BL-IT-01,2026-06-03,approved
PO-3003,SUP-003,Marketing,3000,BL-MKT-01,2026-06-05,approved
PO-3004,SUP-004,Legal,8000,BL-LEG-01,2026-06-10,pending_approval
PO-3005,SUP-005,IT,22000,BL-IT-01,2026-06-12,approved
PO-3006,SUP-006,Operations,9000,BL-OPS-01,2026-06-15,open
PO-3007,SUP-007,Facilities,7000,BL-FAC-01,2026-06-18,approved
PO-3008,SUP-008,Operations,15000,BL-OPS-01,2026-06-20,pending_approval
PO-3009,SUP-009,HR,4000,BL-HR-01,2026-06-22,approved
PO-3010,SUP-010,Procurement,62000,BL-PROC-01,2026-06-25,pending_approval
PO-3011,SUP-001,IT,6000,BL-IT-01,2026-07-01,approved
PO-3012,SUP-002,Marketing,2500,BL-MKT-01,2026-07-02,approved
PO-3013,SUP-003,Facilities,4200,BL-FAC-01,2026-07-03,open
PO-3014,SUP-005,Legal,9000,BL-LEG-01,2026-07-04,approved
PO-3015,SUP-008,HR,3000,BL-HR-01,2026-07-05,approved
PO-3016,SUP-009,IT,11000,BL-IT-01,2026-07-06,approved
PO-3017,SUP-010,Procurement,5000,BL-PROC-01,2026-07-07,approved
PO-3018,SUP-001,Operations,6000,BL-OPS-01,2026-07-08,approved
PO-3019,SUP-002,Facilities,3000,BL-FAC-01,2026-07-09,approved
PO-3020,SUP-003,IT,4000,BL-IT-01,2026-07-10,approved
PO-3021,SUP-004,Marketing,2000,BL-MKT-01,2026-07-11,approved
PO-3022,SUP-005,HR,3500,BL-HR-01,2026-07-12,approved
PO-3023,SUP-006,Legal,4500,BL-LEG-01,2026-07-13,open
PO-3024,SUP-007,Procurement,6000,BL-PROC-01,2026-07-14,approved
PO-3025,SUP-008,Facilities,2800,BL-FAC-01,2026-07-15,approved
PO-3026,SUP-009,Operations,3200,BL-OPS-01,2026-07-16,approved
PO-3027,SUP-010,IT,4800,BL-IT-01,2026-07-17,approved
