supplier_id,name,active,last_transaction_date,has_current_documentation,contract_end_date
SUP-001,Bramwell Fisheries Co.,True,2026-07-15,True,2027-06-01
SUP-002,Halden Ridge Manufacturing,True,2026-07-06,True,2027-01-10
SUP-003,Thistlewood Office Supply,True,2026-07-10,True,2028-03-01
SUP-004,Corvid & Pale Consulting,True,2026-07-11,False,2027-11-01
SUP-005,Quillon Data Systems,True,2026-07-12,True,2027-05-01
SUP-006,Marrow & Vance Logistics,False,2026-05-02,True,2026-12-01
SUP-007,Ashgrove Facilities Group,True,2026-07-14,True,2026-09-20
SUP-008,Pemberton Industrial Parts,True,2026-07-15,True,2027-08-01
SUP-009,Whitlock Security Services,True,2026-07-16,True,2027-02-15
SUP-010,Ferrous & Kade Equipment,True,2026-07-17,True,2027-09-01
